Variable,Description,Data Source,Response Level,N (%)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Alberta / l'Alberta,304 (12.4)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,British Columbia / la Colombie-Britannique,495 (20.2)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Manitoba / le Manitoba,133 (5.4)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,New Brunswick / le Nouveau-Brunswick,109 (4.5)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Newfoundland and Labrador / la Terre-Neuve-et-Labrador,101 (4.1)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Northwest Territories / les Territoires du Nord-Ouest,116 (4.7)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Nova Scotia / la Nouvelle-…cosse,137 (5.6)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Nunavut / le Nunavut,48 (2.0)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Ontario / l'Ontario,595 (24.3)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Prince Edward Island / l'Óle du Prince-…douard,61 (2.5)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Quebec / le QuÈbec,288 (11.8)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Saskatchewan / la Saskatchewan,53 (2.2)
province,Where do you live? - Province or Territory,Canadian Social Connection Survey,Yukon / le Yukon,8 (0.3)
age,How old are you (in years)?,Canadian Social Connection Survey,,38.70 (15.49)
gender,"How do you identify, in terms of gender? - Selected Choice",Canadian Social Connection Survey,Man,1157 (47.3)
gender,"How do you identify, in terms of gender? - Selected Choice",Canadian Social Connection Survey,Non-binary,59 (2.4)
gender,"How do you identify, in terms of gender? - Selected Choice",Canadian Social Connection Survey,Woman,1232 (50.3)
identity_vetrans,Do you belong to any of the following groups? (Check all that apply) - Veterans,Canadian Social Connection Survey,8888: Not Selected,2156 (88.8)
identity_vetrans,Do you belong to any of the following groups? (Check all that apply) - Veterans,Canadian Social Connection Survey,Veterans,272 (11.2)
identity_indigenous,"Do you belong to any of the following groups? (Check all that apply) - Indigenous peoples (e.g., First Nations, Metis, Inuit)",Canadian Social Connection Survey,8888: Not Selected,2002 (82.5)
identity_indigenous,"Do you belong to any of the following groups? (Check all that apply) - Indigenous peoples (e.g., First Nations, Metis, Inuit)",Canadian Social Connection Survey,"Indigenous peoples (e.g., First Nations, MÈtis, Inuit)",426 (17.5)
identity_lgbtq,"Do you belong to any of the following groups? (Check all that apply) - Sexual or gender minorities (e.g., LGBTQ2+)",Canadian Social Connection Survey,8888: Not Selected,2201 (90.7)
identity_lgbtq,"Do you belong to any of the following groups? (Check all that apply) - Sexual or gender minorities (e.g., LGBTQ2+)",Canadian Social Connection Survey,"Sexual or gender minorities (e.g., LGBTQ2+)",227 (9.3)
identity_disability,"Do you belong to any of the following groups? (Check all that apply) - People with chronic health problems or disabilities (e.g., Living with any impairment, including a physical, mental, intellectual, cognitive, learning, communication or sensory impairments îor a functional limitation îwhether permanent, temporary or episodic in nature, or evident or not, that, in interaction with a barrier, hinders a person s full and equal participation in society.)",Canadian Social Connection Survey,8888: Not Selected,2039 (84.0)
identity_disability,"Do you belong to any of the following groups? (Check all that apply) - People with chronic health problems or disabilities (e.g., Living with any impairment, including a physical, mental, intellectual, cognitive, learning, communication or sensory impairments îor a functional limitation îwhether permanent, temporary or episodic in nature, or evident or not, that, in interaction with a barrier, hinders a person s full and equal participation in society.)",Canadian Social Connection Survey,"People with chronic health problems or disabilities (e.g., Living with any impairment, including a physical, mental, intellectual, cognitive, learning, communication or sensory impairmentsóor a functional limitationówhether permanent, temporary or episodic in nature, or evident or not, that, in interaction with a barrier, hinders a personís full and equal participation in society.)",389 (16.0)
identity_bipoc,"Do you belong to any of the following groups? (Check all that apply) - People of colour (e.g., Black, Indigenous, Asian  or other racialized minority)",Canadian Social Connection Survey,8888: Not Selected,2028 (83.5)
identity_bipoc,"Do you belong to any of the following groups? (Check all that apply) - People of colour (e.g., Black, Indigenous, Asian  or other racialized minority)",Canadian Social Connection Survey,"People of colour (e.g., Black, Indigenous, Asian  or other racialized minority)",400 (16.5)
identity_pwud,Do you belong to any of the following groups? (Check all that apply) - People who have substance abuse problems,Canadian Social Connection Survey,8888: Not Selected,2331 (96.0)
identity_pwud,Do you belong to any of the following groups? (Check all that apply) - People who have substance abuse problems,Canadian Social Connection Survey,People who have substance abuse problems,97 (4.0)
identity_newcomers,"Do you belong to any of the following groups? (Check all that apply) - Newcomers (e.g., Recent immigrants and refugees, i.e. being in Canada for less than 10 years)",Canadian Social Connection Survey,8888: Not Selected,2191 (90.2)
identity_newcomers,"Do you belong to any of the following groups? (Check all that apply) - Newcomers (e.g., Recent immigrants and refugees, i.e. being in Canada for less than 10 years)",Canadian Social Connection Survey,"Newcomers (e.g., Recent immigrants and refugees, i.e. being in Canada for less than 10 years)",237 (9.8)
identity_homeless,Do you belong to any of the following groups? (Check all that apply) - People who are experiencing homelessness or have in the past,Canadian Social Connection Survey,8888: Not Selected,2339 (96.3)
identity_homeless,Do you belong to any of the following groups? (Check all that apply) - People who are experiencing homelessness or have in the past,Canadian Social Connection Survey,People who are experiencing homelessness or have in the past,89 (3.7)
identity_mental_health,Do you belong to any of the following groups? (Check all that apply) - People with mental health challenges,Canadian Social Connection Survey,8888: Not Selected,2148 (88.5)
identity_mental_health,Do you belong to any of the following groups? (Check all that apply) - People with mental health challenges,Canadian Social Connection Survey,People with mental health challenges,280 (11.5)
relationship_status,What is your current relationship status?,Canadian Social Connection Survey,In a relationship,1154 (47.7)
relationship_status,What is your current relationship status?,Canadian Social Connection Survey,Single and dating,527 (21.8)
relationship_status,What is your current relationship status?,Canadian Social Connection Survey,Single and not dating,736 (30.5)
covid_distancing,To what extent are you currently following the COVID-19 prevention practices listed below? - Physically distance yourself by 2 metres from others,Canadian Social Connection Survey,Not at all,157 (6.5)
covid_distancing,To what extent are you currently following the COVID-19 prevention practices listed below? - Physically distance yourself by 2 metres from others,Canadian Social Connection Survey,Somewhat,903 (37.1)
covid_distancing,To what extent are you currently following the COVID-19 prevention practices listed below? - Physically distance yourself by 2 metres from others,Canadian Social Connection Survey,Very Closely,1371 (56.4)
covid_masks,To what extent are you currently following the COVID-19 prevention practices listed below? - Wear a mask in public,Canadian Social Connection Survey,Not at all,108 (4.4)
covid_masks,To what extent are you currently following the COVID-19 prevention practices listed below? - Wear a mask in public,Canadian Social Connection Survey,Somewhat,540 (22.2)
